"a","啊阿婀疴屙锕钶錒妸妿娿痾鈳"
"zip","湒潗蓻咠"
"zii","滋兹孜孳鹚嵫鶿鷀孖茲嗞镃稵鼒鎡鰦"
"zij","子仔籽梓耔杍秄虸"
"zit","堲楖蝍"
"ziu","揪遒啾湫蝤鬏揂揫逎鮂"
"ziw","僦媨"
"ziv","酒"
"zix","姊秭"
"zjap","谵譫"
"zji","脂祗栺鴲汦疻"
"zja","遮諸"
"zjah","蔗柘鹧嗻樜蟅鷓"
"zjax","者赭"
"zjak","灼酌焯斫妁禚彴犳謶"
"zjaq","章彰漳樟璋蟑獐鄣嫜蔁慞暲麞墇"
"zjac","障嶂瘴幛墇瞕"
"zjag","掌仉"
"zje","支氏枝肢栀卮觯眵巵汥胑衼衹梔禔馶榰鳷疻觶"
"zjeh","觯忮伿寘觶"
"zjey","制迣晢淛狾製"
"zjek","这只炙摭跖這隻墌蹠"
"zjem","占瞻詹厃噡"
"zjeb","占"
"zjef","飐颭"
"zjen","毡旃栴氈鹯旜饘鸇"
"zjeq","正征怔钲鲭鯖佂眐鉦鴊"
"zjec","正证政症証鴊"
"zjeg","整"
"zjel","战颤顫戰"
"zjer","燀樿饘醆嫸橏皽"
"zjep","慑嗫摺囁慴懾霅詟謺讋襵慹"
"zjet","折浙晢晣"
"zjeu","招昭钊皽盄釗鉊鸼鵃"
"zjew","照诏炤詔曌"
"zjev","沼菬"
"zjex","只纸咫砥坻枳轵恀坁扺帋汦抧紙軹"
"zjih","至挚贽鸷鴲摯懥贄礩鷙"
"zjik","职织戠織樴職蟙軄"
"zjim","针斟箴瑊針葴鍼鱵"
"zjif","枕"
"zjin","真甄稹畛磌帪眞桭蒖禛薽籈侲"
"zjiq","蒸脀烝篜"
"zjic","证烝證"
"zjig","拯氶抍撜"
"zjil","振震赈袗挋侲賑"
"zjir","诊缜疹轸稹胗畛敐槙槇眕袗紾軫診裖駗縝鬒黰"
"zjo","诸槠諸藷櫧蠩"
"zjoh","翥"
"zjox","煮渚陼煑"
"zjip","执汁執瓡慹"
"zjii","之芝臸"
"zjiy","志痣娡誌"
"zjij","止址芷趾厎阯沚洔茝畤"
"zjit","质郅桎蛭骘晊铚锧銍質劕懫櫍騭礩鑕"
"zju","周州洲舟郮週婤喌赒輖賙"
"zjuh","咒椆呪"
"zjux","帚晭箒鯞"
"zjix","指旨酯厎茋恉"
"zveh","惴"
"zvey","赘贅"
"zven","专砖颛抟摶篿鷒叀專剸鄟嫥瑼甎膞磚諯顓鱄"
"zvel","剸"
"zver","剬剸膞鱄孨竱"
"zvet","拙炪蝃梲"
"zvex","捶棰箠沝"
"zvi","锥隹骓萑錐騅鵻"
"zvin","谆肫訰諄"
"zvil","圳盹訰稕"
"zvir","准埻準"
"zjuk","祝粥琡喌柷"
"zjuq","终螽潀潨泈柊終蔠鴤鼨"
"zjuc","众眾衆"
"zvo","朱珠侏咮硃秼絑鴸鮢"
"zvoh","注铸蛀澍炷疰罜祩註馵霔鑄"
"zvok","烛瞩嘱韣鸀噣燭蠋蠾囑矚"
"zvoq","钟忪锺鈆橦伀彸妐炂衳鍾蹱鐘籦"
"zvoc","种種偅"
"zvog","种肿踵喠幒歱腫種"
"zvox","主炷麈枓宔"
"caa","叉杈馇艖鎈餷靫"
"caah","岔汊衩"
"caam","搀攙"
"caab","忏儳嚵摲懺"
"caaf","醶"
"caaq","琤鎗"
"caal","羼鏟"
"caat","刹剎"
"caau","抄钞訬鈔"
"caaw","绉耖罺仯觘縐"
"caav","炒吵诌煼仯謅"
"cae","差钗芆靫釵"
"caeh","瘥訍"
"caei","差"
"caek","册策冊拺笧憡筴矠嫧皟"
"caeq","铮噌琤棦凈錚"
"caer","铲羼刬丳剷鏟剗"
"caep","插锸扱臿鍤疀喢"
"caet","察嚓镲檫詧鑔"
"caok","龊娕娖擉齪齱"
"caoq","窗窓牎摐牕窻囪鏦堫"
"ceek","簎"
"cee","差嵯縒齹"
"ceaq","创疮戗瘡戧"
"ceac","创怆刱剏創愴"
"ceag","闯傸磢闖漺"
"ceim","参參嵾骎駸梫槮"
"ceib","谶讖"
"ceif","碜醦墋磣"
"ceik","测恻測惻畟"
"ceil","衬榇龀齔儭嚫櫬襯瀙"
"ceir","龀齓齔"
"ceo","初"
"ceoh","儊"
"ceox","础楚憷濋礎齭齼"
"ceii","飔颸"
"ceiy","厕廁"
"ceij","欼"
"ceiu","诌搊醔篘謅"
"ceiw","遚簉"
"ceiv","瞅"
"cray","嘬"
"coal","篡"
"cue","夊"
"cyiy","毳竁"
"cuex","揣"
"cyi","推蓷"
"ceuk","珿"
"cyu","刍芻犓"
"cyuh","菆"
"zo","租蒩"
"zoh","做"
"zoi","脧嗺"
"zoy","夎綷晬祽捘"
"zoj","洅嶊"
"zok","傶錊"
"zon","尊樽嶟罇繜"
"zoq","宗腙倧"
"zoc","综綜錝"
"zol","焌捘"
"zor","撙僔噂譐"
"zot","卒倅稡"
"zox","组祖蒩珇組靻"
"zaa","查渣楂碴喳齄浾抯柤溠樝皻齇"
"zaah","榨诈咋笮溠詐醡"
"zaak","窄啧蚱笮舴迮嘖諎"
"zaab","覱"
"zaar","拃"
"zaau","抓罺摷"
"zaaw","笊癄"
"zaav","找爪笊瑵"
"zaax","痄厏鲊鮓謯"
"zaeh","债債"
"zaei","斋齋"
"zaey","瘵"
"zaek","责啧箦帻責嘖幘嫧簀謮債"
"zaeb","蘸"
"zaef","斩崭斬嶄"
"zaeq","争挣筝狰綪爭埩掙猙箏"
"zaec","诤掙諍"
"zaer","盏琖盞醆"
"zaep","眨偛"
"zaet","扎札紮蚻"
"zaok","捉穛穱斮篧"
"zee","龇齜"
"zeex","跐"
"zeak","斮"
"zeaq","装庄妆妝莊粧裝"
"zeac","壮壯"
"zeim","旡兂撍"
"zeib","谮譖"
"zeif","怎"
"zeip","戢蕺濈霵"
"zeik","侧仄昃側萴稄夨"
"zein","臻榛溱蓁瀙搸潧樼轃"
"zeo","菹"
"zeoh","诅詛"
"zeox","阻俎"
"zeii","淄鲻甾锱辎缁菑葘椔湽緇輜輺錙鍿鯔鶅"
"zeiy","椔鶅剚倳胾"
"zeij","滓笫胏"
"zeit","栉楖擳瀄櫛"
"zeiu","邹驺陬鄹齱騶郰菆棷鄒箃緅黀"
"zeiw","皱绉甃皺縐"
"zeiv","搊掫"
"zoa","髽"
"zoan","跧"
"zyan","恮跧蟤"
"zyal","孨"
"zyat","茁"
"zeuk","縬"
"zyu","搊"
"cjoj","茝"
"cji","鸱鴟鵄胵"
"cja","车砗車硨"
"cjax","扯哆撦奲"
"cjak","绰繛婥綽磭"
"cjaq","昌猖娼菖鲳阊琩锠裮閶錩鯧"
"cjac","唱倡廠"
"cjag","厂敞氅惝僘廠"
"cje","眵"
"cjeh","卶"
"cjey","掣瘛痸銐懘"
"cjek","赤尺斥哧呎蚇烾滷"
"cjem","妗裧幨襜緂"
"cjeb","裧幨襜韂"
"cjen","燀"
"cjel","硟"
"cjer","阐啴幝燀繟闡灛嘽"
"cjep","喢謵詀"
"cjet","瘛"
"cjeu","怊弨"
"cjev","弨眧麨楢"
"cjex","侈哆垑袳袲鉹懘姼恀誃"
"cjih","痓"
"cjik","瀷"
"cjif","渖瀋"
"cjin","嗔瞋謓"
"cjiq","称爯偁稱"
"cjic","称秤稱"
"cjoh","处處"
"cjox","处杵處"
"cjip","卙"
"cjii","嗤蚩媸妛"
"cjiy","帜炽哆埴熾饎糦幟"
"cjij","齿纰齒紕"
"cjit","叱"
"cju","犨犫"
"cjuh","臭殠"
"cjux","丑醜魗"
"cve","吹炊龡"
"cven","川穿氚灥"
"cvel","串钏釧竁諯"
"cver","喘舛荈"
"cvet","啜歠"
"cvi","蓷"
"cvin","春蝽"
"cvir","蠢僢偆惷踳"
"cvit","出齣"
"cjuk","俶埱琡柷"
"cjuq","充茺珫"
"cjuc","铳銃"
"cvo","枢姝樞袾"
"cvok","触觕歜臅觸"
"cvoq","冲憧艟衝罿褈"
"cvog","喠"
"zu","陬掫棷緅"
"zuah","挫夎侳"
"zuay","最"
"zuan","劗鑚鑽"
"zual","钻鑚鑽"
"zuar","纂缵儹鄼酇繤纉籫纘"
"zuat","攥拶繓"
"zuax","硰"
"zuh","奏揍"
"zuk","镞鎐鏃"
"zuq","棕鬃堫葼嵕猣椶嵸稯蝬艐翪豵鬉騣鬷鯼緵"
"zuc","粽偬鯼傯糉緵"
"zug","总偬苁蓯熜緫猣嵸翪鬷揔傯摠總"
"zux","走"
"ziiu","稵"
"zya","侳"
"zye","臇"
"zyey","蕝"
"zyen","镌剶脧鋑鐫朘"
"zyer","臇"
"zyet","尐蕝"
"zyex","嘴觜"
"zyi","嶉檇"
"zyih","醉檇"
"zyin","遵跧僎嶟鷷"
"zyil","俊骏睃馂晙焌畯儁餕寯駿"
"zyit","卒啐"
"zyix","濢臎嗺噿"
"ziuk","蹙槭踧噈縬顣殧摵"
"zyo","诹陬娵掫諏嗺"
"zyoh","緅"
"zyok","足哫"
"zyoq","纵踪枞樅熧磫豵蹤縱"
"zyoc","纵瘲縱"
"dha","驼陀沱鸵驮坨佗砣跎沲酡鼍迱袉紽詑馱駞駝鴕鮀鼧驒鼉"
"dhah","馱駄"
"dhay","大汏轪軑釱忕"
"dhak","度铎踱仛剫喥凙鐸襗"
"dham","谈痰郯澹锬餤倓惔談錟"
"dhab","淡氮啖啗腅憺倓惔"
"dhaf","凼澹啖啗噉憺氹惔"
"dhan","弹坛檀掸瘅儃繟聅癉撣彈壇貚鷤驒唌驙"
"dhaq","堂唐糖塘膛棠搪砀螳溏饧樘醣螗瑭碭闛坣啺傏蓎隚榶煻磄橖踼篖赯餳糛鎕餹鶶"
"dhac","宕砀菪逿碭嵣踼"
"dhag","荡愓婸蕩璗盪簜嵣潒崵"
"dhal","弹惮掸澶撣僤憚彈"
"dhar","但蛋诞袒膻繵疍蜑觛誕僤潬襢"
"dhap","蹋谵阘闒躢譫"
"dhat","达垯墶荙達薘鐽"
"dhau","陶逃淘桃涛掏萄焘啕鼗翢翿錭濤燾匋咷梼绹裪鞀蜪綯鞉駣騊檮"
"dhaw","导盗蹈悼俦纛帱儔幬導盜翿"
"dhav","道稻衟駣"
"dhax","舵柁沲陊拕袉詑"
"dhei","提题蹄啼锑荑醍绨鹈缇鼶銻厗罤崹稊媞瑅嗁綈褆蕛蝭緹趧鴺蹏鳀謕題鮷鵜騠鶗鯷鶙鷤桋銕鮧禔"
"dhey","第递缔棣悌睇轪軑髢杕釱遞禘摕遰慸締踶鳀鶗鯷鷤鬀墆"
"dhej","弟娣媞"
"dhek","敌笛迪涤翟荻狄莜籴觌踧苖梑滌蔋頔敵篴糴覿滷籊蓧樀"
"dhem","甜恬菾湉"
"dheb","磹"
"dhef","簟扂驔橝"
"dhen","田填钿阗畋鈿貚沺搷塡磌窴闐鷏畇"
"dheq","停庭亭廷婷霆蜓葶莛渟綎筳楟聤鼮娗dengh"
"dheg","挺艇铤梃莛鋌涏娗誔"
"dhel","电殿奠甸淀佃靛钿阗畋電鈿澱壂窴闐涏"
"dher","殄跈"
"droi","台抬苔薹跆骀炱菭臺颱駘儓擡嬯檯籉"
"droy","代袋逮岱黛甙埭玳帒瑇叇黱靆酨"
"droj","待怠殆诒绐迨骀紿軩駘詒"
"drok","特鴏貣螣棏樴"
"drom","谭潭覃昙荨镡蕁橝曇藫罈壜譚鐔燂蟫"
"drob","贉瞫醰"
"drof","萏窞髧嘾禫贉倓醰黮"
"droq","腾藤滕誊幐螣縢謄儯騰籐鰧"
"droc","邓蹬僜鄧幐"
"drop","沓龖眔蹹涾遝誻譶"
"dhep","蝶叠碟谍牒褶喋堞鲽渫揲蹀墊惵牃褋艓諜褺曡鰈疊氎慴"
"dhet","跌迭耋瓞垤摕苵胅恎绖眣戜镻趃詄絰嵽荎驖咥泆昳軼墆"
"dheu","条调跳迢苕笤佻髫龆蜩鲦調芀岧條樤鋚齠鰷嬥鮡"
"dhew","调掉莜铫藋調嬥銚"
"dhev","挑窕誂嬥"
"dhih","地墬"
"dho","图途涂徒屠荼菟酴啚捈峹梌蒤筡嵞瘏塗圖廜駼鵌鷵"
"dhoh","度渡镀鍍斁"
"dhoi","颓墤隤尵頹頽魋蘈蹪穨"
"dhoy","队镦憝錞隊薱濧譈鐓憞"
"dhoj","錞陮瀢"
"dhok","毒纛碡瑇蝳"
"dhon","屯沌豚臀饨窀邨燉芚庉忳軘豘飩鲀魨坉啍"
"dhoq","疼彤佟痋爞鼕炵浵赨鉖鉵"
"dhol","钝炖遁砘鈍遯鶨"
"dhor","盾囤沌遯庉坉"
"dhot","突凸堗葖鼵揬鈯腯鍎鶟"
"dhox","杜肚荰靯"
"dda","茶搽秅梌"
"ddak","宅泽择翟檡擇澤襗蠌鸅"
"ddaq","盯澄枨挰掁棖憕"
"ddac","锃鋥"
"ddag","玚瑒"
"ddap","鞢擖霅"
"ddaw","棹櫂"
"ddeb","赚譧詀賺"
"ddef","湛偡"
"ddeq","橙浈揨朾憕虰湞"
"ddel","绽綻"
"ddex","豸廌"
"ddok","浊镯濯擢鸐鸀嬥濁鵫蠗鐲"
"ddoq","噇橦"
"ddoc","撞幢艟"
"dre","池驰踟篪馳趍誃簃傂"
"drey","滞彘銐蹛璏滯"
"drem","誗"
"dren","缠廛躔緾鄽瀍纏"
"drel","纏邅"
"drer","邅"
"drep","殜"
"dret","辙澈轍"
"dreu","朝潮晁鼌鼂"
"drew","召"
"drev","赵兆肇駣垗狣肁旐趙肈鮡"
"drex","豸踶陊徥褆杝阤傂廌"
"drak","着著"
"draq","长场肠苌長瓺萇場腸"
"drac","仗瓺"
"drag","丈杖"
"drek","掷踯蹢躑潪擿擲"
"dreq","程呈埕酲裎珵"
"drec","郑鄭"
"dreg","徎塣"
"dhe","迟坻墀岻蚳貾遟遲謘彽阺荎菭泜"
"dheh","致稚遟謘稺緻"
"drim","沈沉莐鈂霃"
"drib","鸩鴆"
"drif","朕螣鰧顩栚"
"drin","陈尘陳塵敶"
"dril","阵陣敶"
"drir","纼紖眹"
"drip","蛰譶俋蟄"
"drit","秩侄帙妷姪柣袠翐紩豑"
"dhex","雉滍薙"
"drik","直值犆"
"driq","惩澄瞪澂憕懲"
"dro","除储滁躇蒢篨櫥儲藸"
"droh","箸筯"
"drox","苎伫杼芧佇纻苧眝竚羜紵"
"drii","持"
"driy","治植"
"drij","峙痔秲洔庤歭畤跱"
"driu","筹绸稠畴踌俦帱紬菗椆裯綢儔薵幬懤燽疇籌躊梼檮鯈怞鲉鮋棸"
"driw","宙胄籀酎懤疛伷冑駎"
"driv","纣荮鲖鮦紂葤棸"
"dlei","尵"
"dwe","錘鬌甀"
"dweh","缒腄錘甀硾膇縋"
"dvan","传椽傳"
"dval","传傳"
"dvar","篆沌抟摶堟瑑"
"dwi","锤椎槌桘顀鎚"
"dwih","坠怼鎚懟墜"
"dwit","朮炢"
"druk","逐轴妯碡舳篴軸蓫鱁"
"druq","种虫沖翀蟲爞"
"druc","仲"
"dvu","厨橱蹰裯趎廚幮櫥躕"
"dvuh","住牏"
